id_projet;intitule;organisation;co_porteurs;thematiques;odd;etat;annee_debut;annee_fin;zones;beneficiaires_par_zone;partenaires;bailleurs;budget_eur;resume
P059;Renforcement de la planification locale (Matam);ados;;dev_local secu_alim;2 11 16;termine;2019;2022;SN-MATAM SN-KANEL;SN-MATAM:2000 SN-KANEL:2000;Association de ressortissants en France | Agence régionale de développement de Matam | Union des producteurs de Matam | Association des femmes de Matam;Agence de l’eau D;180000;Projet fictif de démonstration porté par Ados sur Matam, Kanel. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P060;Restauration des terres dégradées (Louga);ados;;grn;13 15;termine;2021;2022;SN-LOUGA SN-KEBEMER;SN-LOUGA:1250 SN-KEBEMER:1250;Service régional de l’hydraulique | Association des femmes de Kébémer;Coopération décentralisée C;180000;Projet fictif de démonstration porté par Ados sur Louga, Kébémer. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Gestion des ressources naturelles.
P061;Lutte contre la plante envahissante typha – Saint-Louis;ados;;grn;13 15;termine;2024;2025;SN-SAINT-LOUIS;SN-SAINT-LOUIS:2500;Association des femmes de Saint-Louis | Service régional de l’hydraulique | Union des producteurs de Saint-Louis;Agence de l’eau D | Programme multilatéral F;900000;Projet fictif de démonstration porté par Ados sur Saint-Louis. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Gestion des ressources naturelles.
P062;Renforcement de la planification locale (Kédougou);ados;;dev_local education_formation;4 8 11 16;termine;2023;2025;SN-TAMBACOUNDA SN-KOUMPENTOUM SN-GOUDIRY SN-SARAYA;SN-TAMBACOUNDA:1500 SN-KOUMPENTOUM:1500 SN-GOUDIRY:1500 SN-SARAYA:1500;Réseau des jeunes du fleuve | Association des femmes de Koumpentoum | Service régional de l’hydraulique;Fondation B;2500000;Projet fictif de démonstration porté par Ados sur Tambacounda, Koumpentoum, Goudiry, Saraya. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P063;Accès à l’eau potable et à l’assainissement – Dagana;ados;;eau_assainissement;6;en_cours;2023;2026;SN-DAGANA;SN-DAGANA:6000;Fédération des éleveurs de Saint-Louis | Union des producteurs de Saint-Louis;Programme multilatéral F;480000;Projet fictif de démonstration porté par Ados sur Dagana. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Eau et assainissement.
P064;Appui à la maîtrise d’ouvrage communale – Koumpentoum;ados;avsf;dev_local;11 16;termine;2019;2022;SN-KOUMPENTOUM;SN-KOUMPENTOUM:4000;Commune de Koumpentoum | Union des producteurs de Tambacounda | Réseau des jeunes du fleuve | Service régional de l’hydraulique;Agence bilatérale A | Fonds climat E;900000;Projet fictif de démonstration porté par Ados sur Koumpentoum. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P065;Gestion concertée des services d’eau (Saint-Louis);ados;;eau_assainissement;6;termine;2024;2025;SN-PODOR SN-GOUDIRY SN-RANEROU;SN-PODOR:5000 SN-GOUDIRY:5000 SN-RANEROU:5000;Service régional de l’hydraulique | Fédération des éleveurs de Saint-Louis;Coopération décentralisée C | Agence bilatérale A;1800000;Projet fictif de démonstration porté par Ados sur Podor, Goudiry, Ranérou. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Eau et assainissement.
P066;Appui à la maîtrise d’ouvrage communale – Kankan;partenariat;grdr;dev_local;11 16;en_cours;2022;2026;GN-KANKAN;GN-KANKAN:9000;Association de ressortissants en France | Association des femmes de Kankan | Université partenaire (recherche) | Réseau des jeunes du fleuve;Agence bilatérale A | Fonds climat E | Fondation B;900000;Projet fictif de démonstration porté par Le Partenariat sur Kankan. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P067;Alphabétisation fonctionnelle des femmes (Kankan);partenariat;geres;education_formation dev_eco;1 4 8;en_cours;2024;2027;GN-KANKAN GN-KOUROUSSA;GN-KANKAN:7500 GN-KOUROUSSA:7500;Agence régionale de développement de Kankan | Association des femmes de Kouroussa | Union des producteurs de Kankan;Agence de l’eau D | Union européenne (fictif);1200000;Projet fictif de démonstration porté par Le Partenariat sur Kankan, Kouroussa. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Éducation et formation.
P068;Gestion concertée des services d’eau – Kanel;partenariat;;eau_assainissement;6;en_cours;2024;2026;SN-KANEL;SN-KANEL:6000;Association de ressortissants en France | Union des producteurs de Matam | Fédération des éleveurs de Matam;Fondation B | Union européenne (fictif);900000;Projet fictif de démonstration porté par Le Partenariat sur Kanel. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Eau et assainissement.
P069;Aménagement résilient des berges (Kankan);partenariat;;risques_naturels secu_alim;2 11 13;termine;2021;2023;GN-KEROUANE GN-KANKAN;GN-KEROUANE:4500 GN-KANKAN:4500;Fédération des éleveurs de Kankan | Commune de Kankan | Réseau des jeunes du fleuve;Fondation B | Union européenne (fictif) | Agence de l’eau D;2500000;Projet fictif de démonstration porté par Le Partenariat sur Kérouané, Kankan. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Risques naturels et inondations.
P070;Insertion socio-professionnelle – Bakel;partenariat;;education_formation;4 8;en_cours;2024;2027;SN-BAKEL;SN-BAKEL:6000;Association de ressortissants en France | Union des producteurs de Tambacounda | Service régional de l’hydraulique | Université partenaire (recherche);Programme multilatéral F | Agence bilatérale A | Agence de l’eau D;350000;Projet fictif de démonstration porté par Le Partenariat sur Bakel. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Éducation et formation.
P071;Assainissement en milieu scolaire – Podor;partenariat;;eau_assainissement;6;termine;2022;2023;SN-PODOR;SN-PODOR:800;Réseau des jeunes du fleuve | Association des femmes de Podor;Union européenne (fictif) | Agence de l’eau D;250000;Projet fictif de démonstration porté par Le Partenariat sur Podor. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Eau et assainissement.
P072;Renforcement de la planification locale (Mamou);partenariat;;dev_local;11 16;termine;2021;2025;GN-MAMOU GN-TOUGUE;GN-MAMOU:2000 GN-TOUGUE:2000;Agence régionale de développement de Mamou | Réseau des jeunes du fleuve | Association des femmes de Mamou;Agence bilatérale A;900000;Projet fictif de démonstration porté par Le Partenariat sur Mamou, Tougué. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P073;Renforcement de la planification locale (Kédougou);partenariat;;dev_local risques_naturels;11 13 16;termine;2023;2025;SN-BAKEL SN-SARAYA;SN-BAKEL:750 SN-SARAYA:750;Association de ressortissants en France | Service régional de l’hydraulique | Fédération des éleveurs de Kédougou;Fondation B | Union européenne (fictif) | Coopération décentralisée C;650000;Projet fictif de démonstration porté par Le Partenariat sur Bakel, Saraya. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P074;Appui aux cantines scolaires – ligne de test;grdr;;education_formation;2 4;en_cours;2023;2026;SN-PODOR SN-XYZ;SN-PODOR:1200 SN-XYZ:800;Commune de Podor;Fondation B;150000;Ligne volontairement erronée pour démontrer le contrôle qualité : le code d’unité SN-XYZ n’existe pas.
P075;Maraîchage des femmes – ligne de test;gret;;secu_alim;2;termine;2024;2027;MR-KAEDI;MR-KAEDI:900;Association des femmes de Kaédi;Agence bilatérale A;90000;Ligne volontairement incohérente pour démontrer le contrôle qualité : projet déclaré terminé mais se terminant en 2027.
